threads,perf_high_affinity,perf_low_affinity
2,0.9775593296517657,0.9557290998691977
4,0.9265831072215367,0.9493588120586347
6,0.9171801504522121,0.9242593408409789
8,0.9101984340782614,0.9098816308385307
10,0.8834171737647141,0.9084820405805061
12,0.8962134397329862,0.9254379832041055
14,0.8898714443219278,0.923668945726621
16,0.888907344692608,0.9240634159224463
18,0.912473779054175,0.9360183446957491
20,0.896025340027576,0.9416066487431566
22,0.9190778713457453,0.9607797461688312
24,0.9390465137619732,0.9585766835753111
26,0.9423037861100072,0.9492409512360922
28,0.9355606160183225,0.9535271426652964
30,0.9354098443395171,0.9370579944595674
32,0.930521249601107,0.9524816032976083
