threads,perf_high_affinity,perf_low_affinity,perf_high_affinity_hit_rate,perf_low_affinity_hit_rate
2,23654.199999999997,23814.1,0.9457113320788871,0.9546609670248618
4,23438.35,23905.65,0.9480059991332332,0.9435822496529804
6,23061.8,23403.949999999997,0.9480903283532403,0.9432501114435408
8,23271.85,24107.25,0.9480891391830149,0.9458152971158373
10,23629.199999999997,24266.15,0.9484351586531453,0.9458656215989993
12,22671.8,23380.1,0.9468415122923617,0.9439606308335542
14,22466.2,23699.7,0.9467452080656595,0.9421315863118501
16,22764.0,23711.300000000003,0.9470121529416435,0.9424550951620567
18,22569.699999999997,23953.1,0.9472674636884446,0.9481109637022256
20,22567.75,23786.2,0.9469311884279074,0.9412445040785997
22,22067.3,22205.449999999997,0.9467688555285327,0.9424762645053912
24,21738.4,23274.2,0.9468211127160717,0.9463707481142996
26,21578.1,23764.949999999997,0.9469242656816488,0.9440051839784689
28,20438.800000000003,22777.8,0.9472968724149897,0.9459646839432095
30,20969.2,23196.35,0.9473035256427987,0.9471651426438861
32,20634.4,22418.699999999997,0.9475306994690209,0.9465209261780008
