threads,HA_pair1,LA_pair1,HA_pair2,LA_pair2
2,19111.7,18367.4,19853.5,19600.7
3,18923.6,18959.4,20095.5,19755.3
4,18919.4,18691.7,19762.9,19658.1
5,18997.6,19118.2,19972.9,19415.3
6,18656.9,18801.7,18930.6,19415.3
7,17933.5,18941.3,18469.5,19641.4
8,17770.1,18615.5,18656.4,19583.5
9,18056.5,19159.2,19059.1,20040.3
10,18107.7,18482.2,18456.3,19571.5
11,18083.3,18336.3,17879.0,18934.8
12,17232.1,18159.1,18252.5,19758.2
13,17780.0,19268.1,18494.9,18952.5
14,17235.7,18878.9,18097.4,19270.3
15,17730.2,18529.1,18490.9,18315.2
16,15674.1,17329.1,15868.4,18262.9
17,15860.5,18321.2,16062.4,18371.9
18,15816.4,17925.3,16701.6,18537.8
19,16523.6,17601.9,16542.7,18294.3
20,16000.0,17348.0,16330.2,17335.0
21,16212.2,18177.8,16580.3,17513.2
22,16604.5,18361.3,17987.8,19230.6
23,17716.6,18348.8,18613.4,19615.0
24,18042.4,19020.2,18830.2,18812.2
